turn_number,speaker,text,stage
9,Assistant,Is BACHELOR OF COMPUTER APPLICATION your highest level of education?,Education
10,User,Yes sir.,NA
11,Assistant,Hey are you still on call?,Silence Check
12,User,Yes yes.,NA
13,Assistant,"Okay, great. So, is BACHELOR OF COMPUTER APPLICATION your highest level of education?",Education
14,User,Yes yes.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,Full time job.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,"Banking works, golden job all.",NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,Okay.,NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,I will give training.,NA
23,Assistant,"Let me confirm your details. You are looking for a full-time job Banking works, golden job all. Is this correct? Please say yes to continue or tell me what to change.",Job Type
24,User,Yes yes.,NA
25,Assistant,Are you looking for a job in Chikodi Belagavi?,Intent
26,User,Yes yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Yes okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,"Yes yes. Ma'am, I want to apply for a government vacancy.",Vacancy Count
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,Yes.,NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Bhimasen Kumbare? Hey are you still on call?",Greeting
2,User,"Yes, I am.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, I am searching.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,That has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty four.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF SCIENCE your highest level of education?,Education
12,User,Bachelor of Science,Education
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Banking.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,No.,NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,"Okay, okay.",NA
21,Assistant,Are you looking for a job in Athni Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,It's okay.,NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with SHARANAVVA S PATTED?",Greeting
2,User,Who is speaking?,NA
3,Assistant,"I am Maya, a digital assistant from UP Skilling. I am calling to help you find a job. Can you please confirm if I am speaking with SHARANAVVA S PATTED?",Greeting
4,User,"Yes, tell me madam.",NA
5,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
6,User,Yes.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"It has changed, thirty-eight for us, madam.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"I have worked for three years in the PM Vishwakarma Central Government, Madam.",NA
11,Assistant,What was the last title of your last job role?,Job Role
12,User,"That is government, Central Government, I left it two months ago.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,"No no, I am going to tell about tailoring.",NA
15,Assistant,"Okay, so you are looking for a job in tailoring. Is that correct?",Intent
16,User,Yes,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,"Don't want anything, leave it madam. Our children are young, our family members are not here, we cannot leave them and do it.",NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,"No, I don't want any of that, leave it madam. We are farmers, we do everything, we are children.",NA
21,Assistant,Let me confirm your details. You are looking for a full-time job Anything job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
22,User,"Now take another one, take two. I have applied in the rural area, but it is not happening. Don't do it, madam. We cannot leave our family and go. Our children are small, our family members have died.",Location Area
23,Assistant,"Are you looking for a job in Holealur, Dharwad district?",Intent
24,User,"Ron Taluk Gadag District Holealur. Ron Taluk Gadag district, not Dharwad district, Gadag district.",Location District
25,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
26,User,"In Ravan taluk, in the rural area, I have now applied for their application, madam.",Location Area
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,"Hello madam, our keypad... we work in the field here. The keypad phone is not a big phone, to turn on the message and check.",NA
29,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Shivabasu Sayannavar?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed? Hey are you still on call?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty-five.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is B.COM.your highest level of education?,Education
12,User,Yes.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Office work.,NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Banking sector.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help? Hey are you still on call?",Additional Needs
18,User,Yes.,NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,Yes.,NA
21,Assistant,Could you please tell me what those job-related needs are? Hey are you still on call?,Silence Check
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Yallappa Maruti Kavali?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No madam, I am going to a competitive exam.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, tell me madam.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"Yes, tell me madam. Yes, tell me madam.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No madam.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,"Tell me, madam.",NA
13,Assistant,What kind of job are you looking for?,Job Role
14,User,"We are studying MTS, Central Government, madam.",NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Tejaswini Neelannavar?",Greeting
2,User,Yes,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,We are sitting idle.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, it is correct.",Confirmation
7,Assistant,Have you ever done a job before?,Experience
8,User,I have done housework.,NA
9,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
10,User,Ah commerce commerce.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,Full-time job.,Job Type
13,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
14,User,We have paid the banking exam.,NA
15,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
16,User,"Yes, it is there.",NA
17,Assistant,Let me confirm your details. You are looking for a full-time job banking exam job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Hmm.,NA
19,Assistant,Please say yes to continue or tell me what to change.,Confirmation
20,User,Yes.,NA
21,Assistant,Are you looking for a job in MUDALGI Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,Okay.,NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Kanteppa Bhandiwad?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"I am searching, madam.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Okay, this is it, okay, this is it.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"No madam, no no, I haven't done it.",NA
9,Assistant,Is MASTER OF COMMERCE your highest level of education?,Education
10,User,Yes yes.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
12,User,Full time madam.,Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,"We will look for the state government, madam.",NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Is there any work within the tenths?,NA
17,Assistant,Let me confirm your details. You are looking for a full-time state government job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Yes yes.,NA
19,Assistant,Are you looking for a job in Hubballi Dharwad?,Intent
20,User,"Yes, yes.",NA
21,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
22,User,Okay okay.,NA
23,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
24,User,"Look, write like this. Hmm.",NA
25,Assistant,Is this your WhatsApp Number?,WhatsApp Number
26,User,"Yes, yes.",NA
27,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
28,User,Okay okay thank you.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
30,User,Okay okay.,NA
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Ashwini B Kunkur?",Greeting
2,User,"Yes, yes.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, that's right.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"That has changed, twenty-four.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No.,NA
9,Assistant,Is MASTER OF COMMERCE your highest level of education?,Education
10,User,Yes,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Yes.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else. Hey are you still on call?",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,Job Role
16,User,Full time job.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,Yes.,NA
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,"A banking sector accountant, banking sector accountant.",NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
22,User,Banking sector or teaching.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job banking sector accountant job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes.,NA
25,Assistant,Are you looking for a job in Bailahongala Belagavi?,Intent
26,User,Yes.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Okay.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,Yes.,NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with YASMINBANU MULIMANI?",Greeting
2,User,Okay ma'am.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Okay ma'am. Yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your correct age?,Profile
8,User,Twenty seven.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No ma'am.,NA
11,Assistant,Is Sewing Technology (NSQF)your highest level of education?,Education
12,User,Okay ma'am.,NA
13,Assistant,Is Sewing Technology (NSQF)your highest level of education?,Education
14,User,Yes ma'am.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else. Hey are you still on call?",Job Type
16,User,Something else happened.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
18,User,Full time.,Job Type
19,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
20,User,"This is the railway department, ma'am.",NA
21,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
22,User,No ma'am.,NA
23,Assistant,Let me confirm your details. You are looking for a full time railway department job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Hmm.,NA
25,Assistant,"Are you looking for a job in Dharwad, Karnataka Dharwad?",Intent
26,User,Yes.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Hmm.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,"Yes, okay ma'am.",NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,"Yes, WhatsApp number.",NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
34,User,Thank you.,NA
35,Assistant,Thank you.,NA
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with SANJU SAMBHAJI KAMBLE?",Greeting
2,User,"Tell me, madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No ma'am, I am already at work.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Okay ma'am.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"It is twenty-five, madam.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,I am doing it.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,"About five years, madam.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Full-time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,"Banking is not available, madam.",NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,I have traveled.,Additional Needs
19,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Yes ma'am.,NA
21,Assistant,Are you looking for a job in Kagwad Belagavi?,Intent
22,User,Hmm.,NA
23,Assistant,What is the name of the district you are looking for a job in?,Intent
24,User,I am in Begram district.,Location District
25,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
26,User,Atni.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Okay ma'am.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,Okay ma'am.,NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,Yes ma'am.,NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
34,User,Welcome.,NA
35,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vinayak H Honnoli?",Greeting
2,User,Hmm yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Hmm.,NA
5,Assistant,Are you looking for a job right now?,Intent
6,User,Yes,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,It has been changed.,NA
9,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
10,User,It is above 18 years.,NA
11,Assistant,Have you ever done a job before?,Experience
12,User,No.,NA
13,Assistant,Is B.SC.your highest level of education?,Education
14,User,Yes.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,"Yes, part-time job, internship job, banking.",Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
18,User,Banking banking.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,Hello,NA
21,Assistant,"Sorry, looks like there is a network issue. I will call you later.",Network Drop
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Kiran Marathe?",Greeting
2,User,"Hello, yes.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has been changed.,NA
7,Assistant,We cannot continue because you are under 18 years old. Thank you.,Profile
8,User,"Eighteen, eighteen madam.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,B.A. degree.,NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,Yes,NA
15,Assistant,Okay. What is your highest level of education?,Education
16,User,Total BA Modi degree.,NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
18,User,Full time job.,Job Type
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,We finance banking,NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,This is it.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job We finance banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes.,NA
25,Assistant,Are you looking for a job in Gokak Belagavi?,Intent
26,User,Yes okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Yes.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,"Yes, WhatsApp number.",NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
32,User,"Okay, I will send it.",NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Shilpa S Jakate?",Greeting
2,User,Yes ma'am.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,I have changed.,NA
7,Assistant,Could you please tell me your correct age?,Profile
8,User,Twenty-five.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No ma'am.,NA
11,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
12,User,"No ma'am, B.A.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Banking.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"Nothing, ma'am.",NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Yes ma'am.,NA
21,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
22,User,"No ma'am, we are searching for a job here in Chikkodi Raybag.",NA
23,Assistant,What is the name of the district you are looking for a job in?,Intent
24,User,Belgaum district.,Location District
25,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
26,User,"I told you that madam, Chikkodi and Begur Chikkodi and Raibag.",NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,No ma'am.,NA
29,Assistant,"Okay, no problem. Call us if you want WhatsApp messages later. Otherwise, you will not receive hiring alerts from jobs near you.",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vishal Bhajantri?",Greeting
2,User,Yes madam.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"That's it, madam.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Are you working as a mechanic now?,NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,One four years.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,"Full time, full time madam.",Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Government madam.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Tejashwini Yallappa Abbai?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, it is correct.",Confirmation
7,Assistant,Have you ever done a job before?,Experience
8,User,"No, no.",NA
9,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
10,User,"Yes, I have to ask the girl.",NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,They ask at the bank for a job.,NA
13,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
14,User,"It is the bank's responsibility, it is the bank's responsibility.",NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,"There is no other way, they have asked at the bank, see.",NA
17,Assistant,Let me confirm your details. You are looking for a full-time job bank job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
18,User,Hmm hmm.,NA
19,Assistant,Are you looking for a job in Bailahongala Belagavi?,Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Rakesh Gotti?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Yes, okay.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Yes, okay.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Nothing.,NA
9,Assistant,Is B.COM.your highest level of education?,Education
10,User,Yes.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,Banking.,NA
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,Banking application.,NA
15,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
16,User,Okay.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"Yes, I will take it.",NA
19,Assistant,Let me confirm your details. You are looking for a others Banking application job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
20,User,Yes yes.,NA
21,Assistant,Are you looking for a job in Athni Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,Okay okay.,NA
27,Assistant,Is this your WhatsApp Number? Hey are you still on call? Hey are you there?,WhatsApp Number
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Sonali Bhimappa Talawar?",Greeting
2,User,Yes ma'am.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Ma'am, the age is not eighteen, ma'am, it's twenty-two, ma'am.",Profile
7,Assistant,Have you ever done a job before?,Experience
8,User,No ma'am.,NA
9,Assistant,Is BACHELOR OF COMPUTER APPLICATIONSyour highest level of education?,Education
10,User,Yes ma'am.,NA
11,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
12,User,"Ma'am, full-time, full-time job, ma'am.",Job Type
13,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
14,User,"Ma'am, government related or private related?",NA
15,Assistant,"You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",NA
16,User,"Data entry operator, machine operator.",NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,"It is there, ma'am.",NA
19,Assistant,Could you please specify what other job-related needs you have?,Additional Needs
20,User,"Nothing like that, ma'am.",NA
21,Assistant,"Let me confirm your details. You are looking for a full-time Data entry operator, machine operator job. Is this correct? Please say yes to continue or tell me what to change.",Job Type
22,User,"Yes ma'am, but not a machine operator, ma'am.",NA
23,Assistant,Are you looking for a job in Hukeri Belagavi?,Intent
24,User,"Yes ma'am, Hukkeri Belagavi.",NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay ma'am.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Okay ma'am.,NA
